id;city_id;county_id;district_id;country_id;country_name;district_name;county_name;city_name;created_at;updated_at;contry_shrt
25831;35;1334;41433;1;Türkiye;İsmetpaşa;Foça;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25823;35;1280;41423;1;Türkiye;İsmetpaşa;Dikili;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25959;35;1477;41484;1;Türkiye;İstiklal;Kiraz;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26137;35;1677;41644;1;Türkiye;İstiklal;Tire;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26013;35;1521;99104;1;Türkiye;İstiklal;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25593;35;1178;193199;1;Türkiye;Kabaağaç;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25812;35;1280;194089;1;Türkiye;Kabakum;Dikili;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25678;35;1181;193567;1;Türkiye;Kadıköy;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25655;35;1181;193467;1;Türkiye;Kadriye;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25557;35;1128;193071;1;Türkiye;Kalabak;Aliağa;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25656;35;1181;193471;1;Türkiye;Kaleardı;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25902;35;1461;194189;1;Türkiye;Kamberler;Kemalpaşa;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26122;35;1677;194713;1;Türkiye;Kaplan;Tire;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25558;35;1128;193079;1;Türkiye;Kapukaya;Aliağa;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25946;35;1477;194325;1;Türkiye;Karabağ;Kiraz;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25945;35;1477;194329;1;Türkiye;Karaburç;Kiraz;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26138;35;1677;41645;1;Türkiye;Karaca Ali;Tire;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25741;35;1203;192767;1;Türkiye;Karaçam;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25769;35;1203;40993;1;Türkiye;Karacaoğlan;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26033;35;1563;194513;1;Türkiye;Karadoğan;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25594;35;1178;193203;1;Türkiye;Karahalilli;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25596;35;1178;193207;1;Türkiye;Karahayıt;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25657;35;1181;193479;1;Türkiye;Karahıdırlı;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
26036;35;1563;194515;1;Türkiye;Karakova;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25560;35;1128;193083;1;Türkiye;Karaköy;Aliağa;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25562;35;1128;193091;1;Türkiye;Karakuzu;Aliağa;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25595;35;1178;193209;1;Türkiye;Karapınar;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25688;35;1181;193643;1;Türkiye;Karaveliler;Bergama;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25632;35;1178;41349;1;Türkiye;Karaveliler;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25659;35;1181;193483;1;Türkiye;Kaşıkçı;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25988;35;1521;41522;1;Türkiye;Kasımpaşa;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25694;35;1181;193711;1;Türkiye;Katrancı;Bergama;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26086;35;1611;194635;1;Türkiye;Kavakdere;Seferihisar;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25744;35;1203;192775;1;Türkiye;Kavaklıdere;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25742;35;1203;192787;1;Türkiye;Kayadibi;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26024;35;1563;194471;1;Türkiye;Kaymakçı;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26062;35;1563;194621;1;Türkiye;Kazanlı;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25771;35;1203;40994;1;Türkiye;Kazımdirik;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25568;35;1128;41321;1;Türkiye;Kazım Dirik;Aliağa;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25832;35;1334;41435;1;Türkiye;Kazım Dirik;Foça;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25982;35;1521;41523;1;Türkiye;Kazımpaşa;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25996;35;1521;41544;1;Türkiye;Kemal Atatürk;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25836;35;1334;41438;1;Türkiye;Kemal Atatürk;Foça;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25772;35;1203;40995;1;Türkiye;Kemalpaşa;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25929;35;1461;99919;1;Türkiye;Kemalpaşa Osb;Kemalpaşa;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26053;35;1563;194577;1;Türkiye;Kemer;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26022;35;1521;41554;1;Türkiye;Kesik;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26144;35;1677;41646;1;Türkiye;Ketenci;Tire;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25947;35;1477;194333;1;Türkiye;Kibar;Kiraz;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25932;35;1467;139557;1;Türkiye;Kınık Osb;Kınık;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26012;35;1521;41566;1;Türkiye;Kır;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25687;35;1181;193649;1;Türkiye;Kıranlı;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
